"id","stage_id","image_id","type_id","title","description","datetime"
21,4,61,3,"Inside Llewyn Davis","Inside Llewyn Davis' følger musikeren Llewyn Davis, der forsøger at slå igennem som folk-sanger i New York i 1961. Men hans dybtfølte, indadvendte musik passer ikke til musikbranchen, der søger den lettere og mere optimistiske poplyd. 

Det bliver derfor kun til små scenejobs på den lokale bule, og det lille pladeselskab, der tidligere har udgivet en duetindspilning med ham, tror ikke på hans fremtid som solokunstner. 

Pengene er der derfor ikke mange af, og Llewyn lever fra hånden til munden og overnatter på en sofa hos sin utilfredse veninde. Trods modstanden og forhindringerne nægter den lidende kunstner at give op og sætter kursen mod en større og potentielt mere indbringende fremtid. 

Trods den grundlæggende grå stemning, fornægter auteur-parrets tørre humor sig ikke. Men samtidig er ’Inside Llewyn Davis’ et nyt eksempel på, at instruktørerne på plotsiden formår at forny sig gang på gang, og i deres nyeste film foregår handlingen over en uge, hvilket ender med at blive en knivskarp pointe.

Filmen hylder den kreative bølge, der kom ud af Greenwich Village i perioden med en række folk-sange fremført til perfektion af bl.a. skuespillerne Oscar Isaac, Justin Timberlake og Carey Mulligan. 

’Inside Llewyn Davis’ appellerer dog til andre end folk-entusiaster med sine bredt favnende, filmiske kvaliteter og tankevækkende plot.

Billedet tilhører kino.dk
Reference: https://www.kino.dk/sites/default/files/styles/k_poster_big/public/movie-posters/insidellewyndavisplakat.jpg?itok=w2zypV6E","2020-07-09 13:30:00"
22,4,51,2,"Chill'n Lounge","Quis blandit turpis cursus in. Posuere sollicitudin aliquam ultrices sagittis orci a scelerisque. Ipsum dolor sit amet consectetur adipiscing elit ut. Vulputate dignissim suspendisse in est ante in nibh mauris. Vel turpis nunc eget lorem dolor sed. Feugiat nisl pretium fusce id velit ut tortor pretium. Augue interdum velit euismod in pellentesque massa placerat.","2020-07-09 16:00:00"
23,4,28,1,"All Star Jam Night","In massa tempor nec feugiat nisl. Cras ornare arcu dui vivamus arcu felis. In aliquam sem fringilla ut morbi tincidunt. Cras fermentum odio eu feugiat. Ullamcorper a lacus vestibulum sed arcu non odio euismod. Tellus mauris a diam maecenas sed enim ut sem. Felis imperdiet proin fermentum leo vel. Scelerisque fermentum dui faucibus in ornare. Eget nunc lobortis mattis aliquam faucibus purus in massa tempor. Laoreet sit amet cursus sit amet dictum sit amet justo.

Lacus laoreet non curabitur gravida arcu ac tortor dignissim convallis. Consectetur libero id faucibus nisl tincidunt eget nullam. Mattis aliquam faucibus purus in massa tempor nec. Odio ut enim blandit volutpat maecenas volutpat blandit aliquam. Tempor orci dapibus ultrices in iaculis. Elit eget gravida cum sociis natoque penatibus et magnis. Ultrices tincidunt arcu non sodales neque sodales ut etiam sit. Faucibus purus in massa tempor nec feugiat nisl pretium fusce. Nisi porta lorem mollis aliquam ut porttitor leo. Sed felis eget velit aliquet. Mattis pellentesque id nibh tortor. Consequat id porta nibh venenatis cras sed felis eget. Laoreet non curabitur gravida arcu ac. Ultrices neque ornare aenean euismod elementum.

Arcu dictum varius duis at consectetur. Aliquam eleifend mi in nulla. At elementum eu facilisis sed odio morbi. Quis varius quam quisque id diam vel quam elementum pulvinar. Consequat ac felis donec et odio pellentesque. Pellentesque elit eget gravida cum sociis natoque penatibus et magnis. Quis blandit turpis cursus in. Posuere sollicitudin aliquam ultrices sagittis orci a scelerisque. Ipsum dolor sit amet consectetur adipiscing elit ut. Vulputate dignissim suspendisse in est ante in nibh mauris. Vel turpis nunc eget lorem dolor sed. Feugiat nisl pretium fusce id velit ut tortor pretium. Augue interdum velit euismod in pellentesque massa placerat.","2020-07-09 20:00:00"
24,1,36,1,"Thomas Helmig","Thomas Helmig (født 15. oktober 1964 i Egå, Aarhus) er en dansk sanger, sangskriver, musiker og producer. Fra 1983 til 1985 var han sanger og frontfigur i soul- og funkgruppen Elevatordrengene, og debuterede som solist i 1985 på støttesinglen ""Afrika"", og samme år med albummet Thomas. ","2020-07-10 17:00:00"
25,1,40,1,"Aqua","Aqua er en dansk dance-popgruppe med den norskfødte forsanger Lene Nystrøm og to danskfødte medlemmer René Dif (rap) og Søren Rasted (keyboard). Indtil 2016 indgik Claus Norréen (guitarist) også. Gruppen blev dannet i 1994 og fik internationalt gennembrud med deres fjerde single ""Barbie Girl"". I 2001 blev gruppen opløst og senere gendannet i 2007 [1]. Aqua er med 33 millioner solgte plader den mest succesrige danske musikgruppe nogensinde målt på salg.","2020-07-10 20:00:00"
26,1,32,1,"Blur","Blur er et engelsk rock band, stiftet i 1989 under navnet Seymour, men skiftede i 1990 navn til Blur efter krav fra deres pladeselskab Food Records. Bandet består af Damon Albarn (sang, klaver, keyboard), Graham Coxon (guitar, sang), Alex James (bas) og Dave Rowntree (trommer). Coxon forlod gruppen i 2002 for at koncentrere sig som sin solokarriere, men vendte tilbage til gruppen i 2009.

Gruppen var i begyndelsen af 90'erne ét af de første såkaldte britpop-bands, der sammen med Suede, Oasis og Pulp gjorde 60'er-inspireret rockmusik populær igen. Gruppen vendte sig dog væk fra britpoppen ved udgivelsen af Blur (1997) og 13 (1999) og begyndte at spille i en stil nærmere art-rock.

Efter 2003 holdt gruppen en pause, men vendte i 2009 ved en række koncerter i Storbritannien og i april 2010 lagde bandet singlen """"Fool's Day"""" ud til gratis download på bandets hjemmeside. De har efter gendannelsen turneret internationalt og udgivet albummet The Magic Whip (2015), der blev nr. 1 i England.","2020-07-10 23:00:00"
27,2,27,1,"Hej Matematik","Hej Matematik er en dansk popduo bestående af Søren Rasted og hans nevø Nicolaj Rasted. Duoen udgav i 2007 singlerne ""Gymnastik"" og ""Centerpubben"" fra albummet Vi burde ses noget mere, udgivet på Copenhagen Records i februar 2008.","2020-07-10 18:30:00"
28,2,44,1,"FM Belfast","Igennem de seneste ti år har bandet spillet på festivaler og klubber over det meste af verden, lige fra de tidligeste shows i hjembyen Reykjavik til USA, Sydney og Tokyo. De har crowd-surfed på en lille hamburger bar I Norge med 20 tilskuere, og varmet op for The Flaming Lips i Sydney med titusinde dansende tilskuere. Ydermere blev de blev også særligt fremhævet på den anerkendte amerikanske festival SXSW Austin, da de optrådte der.","2020-07-10 21:30:00"
29,2,54,1,"Kato","Arcu dictum varius duis at consectetur. Aliquam eleifend mi in nulla. At elementum eu facilisis sed odio morbi. Quis varius quam quisque id diam vel quam elementum pulvinar. Consequat ac felis donec et odio pellentesque. Pellentesque elit eget gravida cum sociis natoque penatibus et magnis. Quis blandit turpis cursus in. Posuere sollicitudin aliquam ultrices sagittis orci a scelerisque. Ipsum dolor sit amet consectetur adipiscing elit ut. Vulputate dignissim suspendisse in est ante in nibh mauris. Vel turpis nunc eget lorem dolor sed. Feugiat nisl pretium fusce id velit ut tortor pretium. Augue interdum velit euismod in pellentesque massa placerat.","2020-07-10 23:30:00"
30,3,71,4,"Lennon lever","Den excentriske Lennon fan, Kimbo, har skabt en virtuel verden hvor du kan udforske den afdøde sanger og Beatles medlem, John Lennons kunstneriske univers. Den anmelderroste udstilling høstede fem stjerner ved The Grand New Yorker Exhibition sidste år og er blevet solgt tre gange til en by i Laos.","2020-07-10 17:00:00"
31,3,72,4,"Kunsten på Kroppen","Den legendariske punkdame Lady Sush har skrevet en sang til hver eneste af de 28 tatoveringer hun har over hele kroppen. I showet vil hun fortælle om hendes valg, kunsten og de mange skrifttyper - alt sammen akkompagneret til hendes salige guitarspil.","2020-07-10 19:00:00"
32,3,52,1,"Mads Langer","Langer er født i Aabenraa, men som 3-årig flyttede han og hans familie til Skive hvor han voksede op, her fattede han tidligt interesse for barndomshjemmets klaver og trommesæt. Han fortsatte interessen på Skive Musikskole, hvor musikere fra Superheroes, Carpark North og Dúné også har gået.[kilde mangler]

Efter at være blevet student fra Skive Gymnasium flyttede Mads Langer i 2003 til København, hvor han spillede med i en række jamsessions og lærte en række musikere at kende. Men vejen ind i musikbranchen kom, da han vendte hjem til Skive for at være dommer i en lokal musikkonkurrence. Her mødte han Kashmirs daværende manager, Brian Nielsen, og spillede nogle af sine sange for ham. Det førte til en kontrakt med pladeselskabet Copenhagen Records.[kilde mangler]","2020-07-10 21:00:00"
33,4,63,3,"Samsara","Samsara er et helligt ord, der betyder det evigt drejende livshjul. Dette er udgangspunktet for de to filmskabere, mens de søger efter den undvigende strøm af sammenhæng, der løber igennem vores liv. 

Optaget over en periode på fem år, i femogtyve lande, på fem kontinenter og skudt med 70mm film, fører 'Samsara' os til verdener bestående af hellig jord, naturkatastrofer, industrielle komplekser og naturens vidundere.

'Samsara' genforener de to filmskabere Ron Fricke og Mark Magidson, hvis prisvindende film 'Baraka og Chronos' bragte en ny visuel og musikalsk kunstfærdighed til biografrummet.

Billedet tilhører kino.dk
Reference: http://barakasamsara.com/sites/default/files/styles/largest_orig_900/public/samsara_poster_large.jpg?_ga=2.170977956.540862946.1536923809-1042386239.1536923809","2020-07-10 11:00:00"
34,4,60,3,"Metallica Through The Never","Verdens bedst sælgende heavyband, Metallica, spiller en stort anlagt stadionkoncert foran titusinder af hardcore fans. Det imponerende sceneshow inkluderer avanceret pyrotechnics og bevægelige scene-elementer til lyden af de største hits fra metalmastodonternes 30-årige karriere. Alt dette går bandets roadie, Trip, glip af, da han under koncerten bliver sendt på en hasteopgave ude i byen – en mission, der udvikler sig i en absurd retning og som Trip hurtigt mister kontrollen over.

Billedet tilhører kino.dk
Reference: https://www.kino.dk/sites/default/files/styles/k_poster_big/public/movie-posters/metallica-kinodk.gif?itok=z1xJ943F","2020-07-10 13:30:00"
35,4,51,2,"Chill'n Lounge","Quis blandit turpis cursus in. Posuere sollicitudin aliquam ultrices sagittis orci a scelerisque. Ipsum dolor sit amet consectetur adipiscing elit ut. Vulputate dignissim suspendisse in est ante in nibh mauris. Vel turpis nunc eget lorem dolor sed. Feugiat nisl pretium fusce id velit ut tortor pretium. Augue interdum velit euismod in pellentesque massa placerat.","2020-07-10 16:00:00"
36,4,28,1,"All Star Jam Night","In massa tempor nec feugiat nisl. Cras ornare arcu dui vivamus arcu felis. In aliquam sem fringilla ut morbi tincidunt. Cras fermentum odio eu feugiat. Ullamcorper a lacus vestibulum sed arcu non odio euismod. Tellus mauris a diam maecenas sed enim ut sem. Felis imperdiet proin fermentum leo vel. Scelerisque fermentum dui faucibus in ornare. Eget nunc lobortis mattis aliquam faucibus purus in massa tempor. Laoreet sit amet cursus sit amet dictum sit amet justo.

Lacus laoreet non curabitur gravida arcu ac tortor dignissim convallis. Consectetur libero id faucibus nisl tincidunt eget nullam. Mattis aliquam faucibus purus in massa tempor nec. Odio ut enim blandit volutpat maecenas volutpat blandit aliquam. Tempor orci dapibus ultrices in iaculis. Elit eget gravida cum sociis natoque penatibus et magnis. Ultrices tincidunt arcu non sodales neque sodales ut etiam sit. Faucibus purus in massa tempor nec feugiat nisl pretium fusce. Nisi porta lorem mollis aliquam ut porttitor leo. Sed felis eget velit aliquet. Mattis pellentesque id nibh tortor. Consequat id porta nibh venenatis cras sed felis eget. Laoreet non curabitur gravida arcu ac. Ultrices neque ornare aenean euismod elementum.

Arcu dictum varius duis at consectetur. Aliquam eleifend mi in nulla. At elementum eu facilisis sed odio morbi. Quis varius quam quisque id diam vel quam elementum pulvinar. Consequat ac felis donec et odio pellentesque. Pellentesque elit eget gravida cum sociis natoque penatibus et magnis. Quis blandit turpis cursus in. Posuere sollicitudin aliquam ultrices sagittis orci a scelerisque. Ipsum dolor sit amet consectetur adipiscing elit ut. Vulputate dignissim suspendisse in est ante in nibh mauris. Vel turpis nunc eget lorem dolor sed. Feugiat nisl pretium fusce id velit ut tortor pretium. Augue interdum velit euismod in pellentesque massa placerat.
","2020-07-10 20:00:00"
37,1,33,1,"Allan Olsen","Allan Olsen står mere og mere som et fyrtårn på den danske musikscene. Ikke mindst som solist i ordets egentlige forstand:

Alene på scenen, foran et kræsent og lyttende publikum.

Allan Olsen’s repertoire spænder over hele hans brede sang-katalog, der gør brug af hele paletten,
fra rock til folk, rap og á capella.
Ingen dansk sangskriver nyder større respekt og anerkendelse, end Allan Olsen. Efter ialt 20 plade-udgivelser og tusindvis af koncerter, er Olsen altid garant for et sjældent højt niveau ved sine optrædender. 

Måske fordi han aldrig har mistet respekten for sit skønne publikum.","2020-07-11 17:00:00"
38,1,55,1,"Duné","Dúné er en dansk rockgruppe dannet i 2001 og består af Piotrek Wasilewski, Ole Bjórn, Mattias Kolstrup. Bandet er især kendt for sine eksplosive livekoncerter og har turneret massivt i både ind- og udland gennem de seneste år, og har i øvrigt spillet support for Foo Fighters i forbindelse med deres koncert i München.

Dúné har udgivet tre albummer, We Are In There You Are Out Here fra 2007, Enter Metropolis fra 2009 og ikke mindst Wild Hearts fra 2013, som fik 5 ud af 6 stjerner i GAFFA og Jyllands Posten og strøg direkte ind som nummer 2 på den danske iTunes liste og nummer 3 på den Officielle Danske Album Hitliste. Bandet er inspireret af 1970'ernes punk, 80'ernes pop og 90'ernes indie, som de har skabt deres egen unikke blanding af, som de på deres to første plader kaldte indielectrock.

Indtil videre i karrieren har Dúné allerede vundet et stort antal priser, herunder den største pris ved P3 Guld (P3 Prisen), GAFFA-Priser, tre Danish Music Awards, m.fl.","2020-07-11 20:00:00"
39,1,46,1,"Bon Jovi","Bon Jovi er et rockband, der oprindeligt stammer fra New Jersey, USA.

Bon Jovi blev dannet af forsangeren Jon Bon Jovi, guitaristen Richie Sambora, trommeslageren Tico Torres, pianisten David Bryan og bassisten Alec John Such i 1983. Alec John Such gik senere ud af bandet og blev erstattet af bassisten Hugh McDonald, som dog ikke betragtes som et officielt medlem af bandet.

Bon Jovi har solgt over 34 millioner album i USA[1], og over 120 millioner album i hele verden. Bon Jovis mest solgte album er Slippery When Wet fra 1986 med bl.a. en af bandets nok mest kendte sange, Livin' On a Prayer.","2020-07-11 23:00:00"
40,2,26,1,"LOC","Liam Nygaard O'Connor, bedre kendt under sit kunstnernavn L.O.C., er en dansk-irsk rapper, sangskriver, tv-vært og pladeselskabsejer. Han startede sin karriere i 1995 sammen med Chadi Abdul-Karim, da de dannede rapgruppen Alzheimer Klinikken.","2020-07-11 18:30:00"
41,2,37,1,"Electric Guitars","Electric Guitars blev startet 2012 af de to danske guitarister, Mika Vandborg og Søren Andersen. Som begge er store guitarister på den danske musikscene. 

Mika Vandborg, den skæggede mand har siden 2009 været den nye guitarist i Love Shop, og du har sikkert også set ham med en stratocaster og en hvid cowboyhat spille med Gnags. Eller med kunstnere som Dicte/Hempler, Kasper Winding, Nikolaj & Piloterne eller ... Listen er lang, og samtidig laver han plader og turnerer med sit soloprojekt. 
Siden 2003 er det blevet til tre soloplader - ‘Under The Sun’ (2003), ‘2010’ (2010) og ‘Wall of Books’ (2013). Derudover udgav albummet ‘Future Garage Sale Item’ (2007) som et bandprojekt.

Søren Andersen den langhårede rockguitarist har de seneste år turneret med Deep Purple-legenden Glenn Hughes, der håndplukkede danskeren som lead guitarist til sit band. 
Derudover er han kendt som manden bag hittene i hedengangne Kick The Kangaroo, lige som han turnerer med kunstnere som Marco Mendoza og Mike Tramp.
I sommeren 2011 udkom hans første soloalbum, ‘Constant Replay’, der er produceret af Søren Andersen selv i Medley Studios, hvor han hjemmevant producerer og skriver numre til en stribe danske kunstnere.

Siden de startede deres turné i 2012, har de besøgt festivaler og afholdt afskillige koncerter landet over. Kendetegnet for dem alle er at guitaren er i centrum. Når Mika Vandborg og Søren Andersen går på scenen, bliver der spillet fremragende guitarrock, fyldt med guitar soloer og rå riffs. 

Når Electric Guitars går på scenen bakkes de op af Morten Hellborn på trommer og Peter Kjøbsted på bas.","2020-07-11 21:30:00"
